Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
1,627575;1,95151;-142;0,3439293;-0,2814636;-9,813193;39,44229;49,81995;9;1;1;0;0;30;682146133;0;0;0;0;4294967295;3750000128;5769;18000000;550718500;12;0;352;-106;2;-0,06224433;0,3090221;-0,2357993;0,7249724;1,733031E+07;173,3867;1081343
1,577533;1,945181;-144;0,346365;-0,2765627;-9,815719;39,46747;49,81995;9;1;1;0;0;32;522146066;0;0;0;0;4294967295;3750000128;5919;18000000;550720250;12;0;392;-141;3;-0,05392073;0,3072389;-0,2528199;0,7144436;1,733031E+07;173,3867;1081343
1,599535;1,90767;-144;0,3559122;-0,2593174;-9,803722;39,45236;49,89624;9;1;1;0;0;32;822146000;0;0;0;0;4294967295;3750000128;5940;18000000;550720750;12;0;399;-147;3;-0,05205944;0,3072429;-0,2549579;0,7125984;1,733031E+07;173,3867;1081343
1,555379;1,928897;-144;0,3414402;-0,2740993;-9,810914;39,45236;49,89624;9;1;1;0;0;33;62146133;0;0;0;0;4294967295;3750000128;5961;18000000;550720750;12;0;404;-152;3;-0,04981432;0,3076012;-0,2583672;0,7115293;1,733031E+07;173,3867;1081343
1,500786;1,915791;-144;0,3413754;-0,2642765;-9,808659;39,45236;49,89624;9;1;1;0;0;33;382146000;0;0;0;0;4294967295;3750000128;5982;18000000;550721000;12;0;410;-158;3;-0,04733014;0,3053416;-0,2607921;0,7100611;1,733031E+07;173,3867;1081343
1,463372;1,919301;-145;0,3268194;-0,2643299;-9,813693;39,44733;49,97253;9;1;1;0;0;34;282146000;0;0;0;0;4294967295;3750000128;6065;18000000;550722000;12;0;428;-176;3;-0,04108617;0,2891699;-0,2696079;0,7045147;1,733031E+07;173,3867;1081343
1,5006;1,9179;-145;0,351099;-0,2666969;-9,80607;39,46243;49,89624;9;1;1;0;0;34;562146066;0;0;0;0;4294967295;3750000128;6086;18000000;550722254;12;0;433;-181;3;-0,03939268;0,2840185;-0,2725638;0,7043599;1,733031E+07;173,3867;1081343
1,489217;1,938777;-145;0,3341084;-0,2667561;-9,811128;39,46243;49,89624;9;1;1;0;0;34;862146333;0;0;0;0;4294967295;3750000128;6105;18000000;550722750;12;0;438;-187;3;-0,03804532;0,2801403;-0,2760375;0,7082522;1,733031E+07;173,3867;1081343
1,488515;1,917367;-146;0,3437672;-0,2544584;-9,808831;39,44733;49,89624;9;1;1;0;0;35;122146200;0;0;0;0;4294967295;3750000128;6146;18000000;550723000;12;0;443;-192;4;-0,03614782;0,2763809;-0,2783401;0,7122153;1,733031E+07;173,3867;1081343
1,506489;1,933172;-146;0,3486319;-0,2691355;-9,801146;39,48257;49,89624;9;1;1;0;0;35;682146200;0;0;0;0;4294967295;3750000128;6187;18000000;550723500;12;0;453;-203;4;-0,03222446;0,2691304;-0,2835244;0,7189705;1,733031E+07;173,3867;1081343
1,531965;1,911855;-146;0,3390741;-0,2741356;-9,818285;39,49265;49,89624;9;1;1;0;0;35;962146200;0;0;0;0;4294967295;3750000128;6207;18000000;550723750;12;0;457;-208;4;-0,03122437;0,2660781;-0,2869198;0,72311;1,733031E+07;173,3867;1081343
