34;36;35;34
34;35;34;34
35;35;35;35
36;36;34;35
37;36;36;35
37;37;36;35
38;38;37;34
38;37;37;33
38;37;37;33
39;38;38;34
39;38;38;35
39;38;38;34
39;38;38;34
39;37;38;33
39;37;37;33
39;36;38;34
39;36;37;35
39;36;37;35
40;36;37;34
39;36;37;35
39;36;37;35
39;36;37;35
39;36;37;34
38;37;37;35
38;36;37;35
38;36;37;35
37;37;39;35
37;36;39;36
37;37;39;35
37;37;40;36
37;36;41;35
37;37;41;36
39;36;41;36
40;36;40;36
40;36;40;36
40;36;40;36
40;36;39;36
39;36;39;36
40;36;39;36
39;37;38;35
39;37;38;35
39;37;38;35
39;37;37;35
38;37;37;35
38;37;37;36
38;36;36;36
38;37;37;36
38;37;36;37
38;36;37;36
38;35;36;36
37;35;37;35
37;36;39;35
39;36;39;34
39;36;39;34
39;37;40;34
39;37;39;34
39;38;40;34
40;38;40;33
40;39;40;34
40;39;41;34
41;38;38;35
40;39;39;35
40;39;40;36
40;39;40;35
40;38;40;36
40;38;40;35
40;38;40;36
40;39;40;36
38;39;39;35
39;38;40;35
39;38;41;35
38;39;41;34
38;39;41;34
37;39;41;34
37;39;40;34
37;38;39;34
37;37;39;35
36;37;39;36
37;37;38;36
38;37;37;36
37;36;37;37
37;36;37;37
37;37;37;37
37;38;37;35
37;37;37;35
37;37;37;35
37;37;37;35
37;36;37;36
37;36;37;36
37;36;38;36
37;37;38;35
37;37;37;35
37;36;37;35
37;36;37;36
37;36;37;36
37;35;37;36
37;35;37;36
37;36;37;36
37;36;37;35
38;36;38;36
39;37;39;37
40;37;39;35
40;37;40;36
39;37;39;35
39;37;40;35
39;39;40;35
39;39;40;35
39;39;40;35
38;39;40;35
38;39;40;36
38;39;40;35
38;39;40;36
38;39;40;35
39;38;40;36
39;37;38;37
39;37;39;38
39;37;38;38
39;36;37;37
39;35;37;36
37;36;37;36
38;36;37;36
38;37;38;36
36;35;38;37
37;37;39;35
37;38;39;35
37;38;39;35
37;38;38;35
37;38;38;35
38;38;38;35
37;38;39;35
38;38;38;34
39;38;39;34
38;37;38;34
38;37;37;35
38;37;37;35
38;37;37;35
38;35;38;35
39;35;38;35
39;35;38;35
39;36;38;35
40;36;38;36
