36;36;35;35;374;374;1001;1001;1019;1024;1002;1022;1020;997;1021;1020;1000;1001
37;38;37;34;373;374;1001;1002;1054;1060;1002;1057;1055;997;1057;1056;1001;1001
39;37;37;34;374;374;1001;1004;1127;1133;1002;1130;1127;997;1130;1128;1004;1004
39;38;38;35;374;374;1001;1005;1162;1169;1002;1166;1163;997;1166;1164;1005;1005
39;36;37;35;374;374;1001;1005;1182;1188;1002;1183;1182;997;1184;1182;1005;1005
39;35;37;35;374;374;1001;1004;1182;1188;1002;1183;1181;997;1184;1181;1003;1004
39;36;37;34;374;374;1001;1004;1182;1187;1002;1183;1181;997;1184;1181;1003;1004
37;37;38;35;374;374;1001;1004;1182;1188;1001;1184;1182;997;1185;1182;1004;1004
37;37;39;36;374;374;1001;1004;1183;1188;1001;1184;1182;997;1185;1182;1004;1004
40;36;40;36;374;374;1001;1004;1182;1188;1002;1184;1182;997;1185;1182;1004;1004
10276;9472;9472;8960;112;150;59877;1004;1182;1188;1002;1184;1182;997;1185;1182;1004;1004
39;37;38;35;374;374;1001;1004;1182;1188;1003;1184;1182;997;1185;1182;1003;1004
38;37;36;37;374;374;1001;1005;1183;1188;1002;1184;1182;997;1185;1182;1005;1005
37;35;37;36;374;374;1001;1006;1184;1190;1002;1185;1183;998;1187;1183;1005;1005
37;36;39;34;374;374;1001;1005;1183;1188;1002;1184;1182;999;1185;1182;1004;1004
39;36;39;34;374;374;1001;1004;1182;1188;1002;1184;1182;999;1185;1182;1003;1004
39;38;40;34;374;374;1001;1004;1181;1186;1002;1182;1180;999;1183;1180;1004;1004
40;39;39;36;374;374;1001;1005;1180;1186;1002;1182;1180;998;1182;1180;1005;1005
37;37;38;36;374;374;1001;1005;1182;1187;1002;1182;1181;995;1184;1181;1005;1005
37;37;37;36;374;374;1001;1005;1183;1189;1002;1184;1182;995;1186;1182;1005;1005
37;36;36;37;374;374;1001;1004;1182;1188;1002;1183;1182;996;1185;1182;1004;1004
