-2,518296;-5,345772;-38
-2,512717;-5,351862;-38
-2,51072;-5,36428;-38
-2,513983;-5,377329;-38
-2,510991;-5,386252;-38
-2,502781;-5,381978;-38
-2,515719;-5,381695;-38
-2,51517;-5,387563;-38
-2,51928;-5,398407;-38
-2,512937;-5,390311;-38
-2,513194;-5,384003;-38
-2,511563;-5,392149;-38
-2,503217;-5,382068;-38
-2,492345;-5,384223;-38
-2,477948;-5,378735;-38
-2,480911;-5,388132;-38
-2,486921;-5,400005;-38
-2,492885;-5,40567;-38
-2,482369;-5,40097;-38
-2,483781;-5,393816;-38
-2,488289;-5,389209;-38
-2,49251;-5,386667;-38
-2,476398;-5,402412;-38
-2,474075;-5,398808;-38
-2,467206;-5,397956;-38
-2,462449;-5,398189;-38
-2,468977;-5,399223;-38
-2,483771;-5,403614;-38
-2,467;-5,403844;-38
-2,4579;-5,409485;-38
-2,470595;-5,39849;-38
-2,468913;-5,386366;-38
-2,475279;-5,379537;-38
-2,500846;-5,381408;-38
-2,510598;-5,360926;-38
-2,519679;-5,370615;-38
-2,527713;-5,362544;-38
-2,528775;-5,361858;-38
-2,522622;-5,35796;-38
-2,511281;-5,353037;-38
-2,510245;-5,353843;-38
-2,507763;-5,348872;-38
-2,504495;-5,36321;-38
-2,499898;-5,375833;-38
-2,49757;-5,380298;-38
-2,494115;-5,381485;-38
-2,483003;-5,395891;-38
-2,483439;-5,419463;-38
-2,481251;-5,432407;-38
-2,493374;-5,427024;-38
-2,496841;-5,45414;-38
-2,492985;-5,444381;-38
-2,489955;-5,44678;-38
-2,487325;-5,444907;-38
-2,483292;-5,451156;-38
-2,478327;-5,440941;-38
-2,494489;-5,437099;-38
-2,502394;-5,438573;-38
-2,504725;-5,431412;-38
-2,507906;-5,42886;-38
-2,511674;-5,426546;-38
-2,507758;-5,420029;-38
-2,51507;-5,406352;-38
-2,5186;-5,400934;-38
-2,499913;-5,390311;-38
-2,494993;-5,38485;-39
-2,473757;-5,377386;-39
-2,450747;-5,382483;-39
-2,440273;-5,372018;-39
-2,448615;-5,375473;-39
-2,438584;-5,352425;-39
-2,445744;-5,348739;-39
-2,434304;-5,347531;-39
-2,447618;-5,367653;-39
-2,440816;-5,377302;-39
-2,433328;-5,387273;-39
-2,450475;-5,373248;-39
-2,45934;-5,38086;-39
-2,441664;-5,38291;-39
-2,445458;-5,382026;-39
-2,435386;-5,374212;-39
-2,431114;-5,368595;-39
-2,431114;-5,368595;-39
-2,439693;-5,370372;-39
-2,43774;-5,367996;-39
-2,420259;-5,375937;-39
-2,427874;-5,380866;-39
-2,431373;-5,384043;-39
-2,431149;-5,377774;-39
